"UKPRN","HE provider","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","First degree"
"10008071","AA School of Architecture","0","0","0","0","100","100"
"10007783","The University of Aberdeen","615","1,005","245","15","335","2,220"
"10007849","Abertay University","135","340","145","5","125","760"
"10007856","Aberystwyth University","300","770","390","55","0","1,520"
"10000080","Access to Music Limited","0","10","5","5","0","20"
"10067853","ACM Guildford Limited","115","120","70","20","40","365"
"10000248","Academy of Live and Recorded Arts","25","30","5","0","0","60"
"10000163","AECC University College","20","20","0","0","0","40"
"10032036","Amity Global Education","0","0","0","0","0","5"
"10000291","Anglia Ruskin University","1,480","1,705","790","240","5","4,225"
"10041898","Apex College London","0","0","0","0","0","0"
"10005451","Arden University","15","70","90","20","0","195"
"10000381","Arts Educational Schools","15","60","10","0","0","80"
"10007759","Aston University","750","1,415","440","35","55","2,695"
"10007857","Bangor University","660","965","530","100","30","2,285"
"10000571","Bath Spa University","345","1,090","330","30","20","1,815"
"10007850","The University of Bath","1,075","1,850","325","40","0","3,285"
"10007152","University of Bedfordshire","485","835","500","195","0","2,015"
"10005343","Queen's University Belfast","1,060","2,095","480","75","280","3,990"
"10037544","BIMM Limited","220","540","330","105","0","1,195"
"10007760","Birkbeck College","225","505","400","105","20","1,255"
"10007140","Birmingham City University","1,505","2,050","940","280","80","4,860"
"10006840","The University of Birmingham","1,785","3,075","665","110","495","6,130"
"10000712","University College Birmingham","350","405","280","90","0","1,130"
"10000894","Bristol Baptist College","0","0","0","0","0","5"
"10007811","Bishop Grosseteste University","100","220","110","25","0","450"
"10004061","Bloomsbury Institute","15","35","45","25","0","125"
"10006841","The University of Bolton","250","410","325","105","35","1,125"
"10000385","The Arts University Bournemouth","220","470","215","100","0","1,005"
"10000824","Bournemouth University","820","2,010","660","95","0","3,590"
"10031982","BPP University","55","145","145","80","85","510"
"10007785","The University of Bradford","700","800","340","45","65","1,950"
"10000886","The University of Brighton","895","1,920","1,125","220","300","4,460"
"10000936","The University College of Osteopathy","0","0","0","0","90","90"
"10007786","The University of Bristol","1,395","2,600","370","70","415","4,850"
"10023464","Trinity College Bristol","0","10","5","0","0","15"
"10000961","Brunel University London","665","1,275","560","65","75","2,645"
"10000975","Buckinghamshire New University","365","795","510","325","5","2,000"
"10007787","The University of Buckingham","85","110","105","10","55","360"
"10022021","UK College of Business and Computing","0","5","10","5","0","15"
"10010308","Cambridge Arts and Sciences Limited","10","5","10","0","0","25"
"10007788","The University of Cambridge","945","1,430","175","40","635","3,215"
"10032072","The Cambridge Theological Federation","0","20","5","0","5","25"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0"
"10001143","Canterbury Christ Church University","520","1,065","650","140","0","2,380"
"10007814","Cardiff University","1,575","2,715","850","115","280","5,535"
"10007854","Cardiff Metropolitan University","475","885","430","140","45","1,970"
"10007141","The University of Central Lancashire","1,105","1,510","815","250","190","3,870"
"10007848","University of Chester","680","1,145","635","95","0","2,555"
"10007137","The University of Chichester","250","745","255","75","25","1,345"
"10001386","Chicken Shed Theatre Company","10","5","5","0","0","15"
"10001546","The College of Integrated Chinese Medicine","5","30","20","0","0","55"
"10001419","Christie's Education Limited","0","0","0","0","0","0"
"10010213","The City College","0","0","0","0","0","0"
"10001478","City, University of London","625","1,250","555","50","60","2,545"
"10007912","Cliff College","0","0","0","0","0","5"
"10001653","Conservatoire for Dance and Drama","100","115","10","25","45","295"
"10007761","Courtauld Institute of Art","20","45","0","0","0","65"
"10034324","Court Theatre Training Company Ltd","5","10","0","0","0","20"
"10001726","Coventry University","1,990","3,345","1,580","245","165","7,325"
"10007822","Cranfield University","0","0","0","0","0","0"
"10006427","University for the Creative Arts","440","540","290","65","0","1,335"
"10007842","University of Cumbria","370","595","405","140","0","1,515"
"10001883","De Montfort University","1,835","2,500","1,305","340","90","6,065"
"10007851","University of Derby","970","1,395","845","330","10","3,550"
"10007852","The University of Dundee","390","720","305","30","765","2,210"
"10007143","University of Durham","1,345","2,305","295","40","0","3,980"
"10007789","The University of East Anglia","1,135","1,780","480","45","160","3,600"
"10007144","The University of East London","610","960","540","125","0","2,235"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","5","5","0","15"
"10007823","Edge Hill University","815","1,395","715","170","10","3,105"
"10007772","Edinburgh Napier University","430","945","340","30","860","2,605"
"10007790","The University of Edinburgh","1,325","2,410","385","60","630","4,805"
"10022047","Empire College London Limited","0","0","0","0","0","0"
"10007791","The University of Essex","800","1,470","645","90","0","3,010"
"10008173","University College of Estate Management","30","75","50","20","0","170"
"10007792","The University of Exeter","1,540","2,810","575","90","105","5,120"
"10008640","Falmouth University","415","890","335","70","0","1,705"
"10033187","Fairfield School of Business Ltd","0","5","5","5","0","10"
"10045476","Met Film School Limited","5","35","10","0","0","55"
"10004511","The National Film and Television School","0","0","0","0","0","0"
"10038763","ForMission Ltd","10","5","10","15","0","35"
"10022087","Futureworks","60","45","30","5","0","140"
"10007762","Glasgow Caledonian University","530","1,090","370","30","1,025","3,050"
"10002681","Glasgow School of Art","95","125","90","50","0","360"
"10007794","The University of Glasgow","945","1,745","465","55","720","3,930"
"10007145","University of Gloucestershire","435","900","385","135","0","1,855"
"10007833","Glyndŵr University","270","285","170","60","10","790"
"10002718","Goldsmiths College","415","885","300","30","0","1,635"
"10030408","Gower College Swansea","0","0","0","0","0","0"
"10007146","The University of Greenwich","1,260","1,700","765","110","30","3,870"
"10007937","GSM London","55","290","330","155","5","835"
"10007825","Guildhall School of Music and Drama","60","90","10","0","10","170"
"10040812","Harper Adams University","95","300","135","10","40","580"
"10080811","Hartpury University","75","120","95","35","5","325"
"10007764","Heriot-Watt University","475","720","300","40","245","1,780"
"10007147","University of Hertfordshire","1,150","1,975","1,165","465","0","4,755"
"10007148","The University of Huddersfield","1,255","1,625","795","160","85","3,925"
"10007149","The University of Hull","860","1,650","775","120","130","3,535"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0"
"10003270","Imperial College of Science, Technology and Medicine","1,265","935","155","15","290","2,660"
"10035638","Institute of Contemporary Music Performance","85","100","25","10","0","220"
"10029682","The Islamic College","0","0","0","0","0","5"
"10021682","Kaplan Open Learning","5","15","10","0","0","35"
"10007767","Keele University","540","940","410","60","115","2,070"
"10003566","Kensington College of Business","0","5","15","5","0","25"
"10007150","The University of Kent","1,115","2,175","785","145","0","4,220"
"10003645","King's College London","1,475","2,290","530","100","545","4,950"
"10008325","KLC School of Design","0","5","0","0","0","5"
"10003678","Kingston University","1,090","1,335","760","225","30","3,445"
"10009285","Kogan Academy of Dramatic Arts","0","5","0","0","0","10"
"10007768","The University of Lancaster","810","1,415","505","65","45","2,840"
"10066551","LCCM AU UK Limited","10","35","5","0","0","55"
"10003854","Leeds Arts University","120","225","90","15","0","455"
"10003861","Leeds Beckett University","1,010","2,070","1,040","210","25","4,350"
"10034449","Leeds Conservatoire","85","160","55","15","0","310"
"10007795","The University of Leeds","2,120","3,340","715","75","415","6,670"
"10003863","Leeds Trinity University","215","395","145","20","10","785"
"10007796","The University of Leicester","815","1,695","585","85","235","3,415"
"10007151","The University of Lincoln","935","1,740","660","205","40","3,580"
"10003956","Liverpool Hope University","215","555","270","30","0","1,070"
"10003957","Liverpool John Moores University","1,130","2,115","975","190","10","4,420"
"10003945","The Liverpool Institute for Performing Arts","45","140","40","10","0","240"
"10006842","The University of Liverpool","1,765","3,080","1,085","220","485","6,630"
"10003958","Liverpool School of Tropical Medicine","0","0","0","0","0","0"
"10007820","Grŵp Llandrillo Menai","40","50","20","15","0","125"
"10007162","University of the Arts, London","1,060","1,865","870","275","50","4,115"
"10013109","London Bridge Business Academy","0","0","0","0","0","0"
"10007769","London Business School","0","0","0","0","0","0"
"10030391","London Churchill College Ltd","0","0","0","0","0","0"
"10007797","University of London (Institutes and activities)","0","0","0","0","0","0"
"10039082","City and Guilds of London Art School","10","10","5","0","0","25"
"10023434","London School of Commerce & IT Limited","0","0","0","0","0","0"
"10015506","The London College UCK","15","25","50","40","0","130"
"10004048","London Metropolitan University","490","580","495","210","0","1,775"
"10032594","London School of Academics Ltd","0","0","0","0","0","0"
"10004078","London South Bank University","765","1,015","610","125","50","2,565"
"10004063","London School of Economics and Political Science","560","840","105","10","0","1,520"
"10007771","London School of Hygiene and Tropical Medicine","0","0","0","0","0","0"
"10022285","London School of Management Education","0","0","10","0","0","10"
"10004075","London School of Theology","5","15","5","5","0","30"
"10004079","London Studio Centre","35","60","5","0","0","105"
"10062810","The London School of Architecture","0","0","0","0","0","0"
"10008289","The London Institute of Banking & Finance","10","15","15","5","0","40"
"10004035","The Film Education Training Trust Limited","0","0","0","0","0","0"
"10004113","Loughborough University","960","1,825","470","45","0","3,300"
"10009612","Luther King House Educational Trust","0","0","0","0","0","5"
"10004180","The Manchester Metropolitan University","2,180","2,910","1,390","510","0","6,990"
"10007798","The University of Manchester","2,680","3,235","1,005","220","485","7,630"
"10009527","Istituto Marangoni Limited","35","70","45","10","0","160"
"10023452","The Markfield Institute of Higher Education","0","10","5","0","0","15"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","15","15"
"10020416","Mattersey Hall","0","10","10","0","0","20"
"10030776","St Mellitus College","5","45","15","0","0","70"
"10004320","The Metanoia Institute","5","20","15","0","0","40"
"10004351","Middlesex University","1,035","1,775","885","390","0","4,090"
"10004365","Millennium Performing Arts Ltd","0","10","15","0","0","30"
"10032277","The Minster Centre","0","0","0","0","0","0"
"10004450","Mountview Academy of Theatre Arts","20","60","10","0","0","90"
"10023777","Mont Rose College of Management and Sciences","5","10","30","45","0","90"
"10023454","Moorlands College","20","25","5","5","0","55"
"10000216","All Nations Christian College","5","5","5","0","0","15"
"10004538","Nazarene Theological College","0","10","5","10","0","20"
"10030129","Nelson College London Ltd","10","25","20","15","0","75"
"10023456","Newbold College","0","5","0","0","0","10"
"10007799","Newcastle University","1,225","2,880","750","155","295","5,300"
"10048199","New College of the Humanities","15","20","0","0","0","40"
"10007832","Newman University","90","245","125","40","0","495"
"10045289","St Nicholas Montessori Training Limited","0","0","0","0","0","0"
"10008397","Norland College","20","35","15","10","0","80"
"10007138","The University of Northampton","620","1,165","695","190","0","2,670"
"10009614","Grŵp NPTC Group","0","0","0","0","0","0"
"10004740","Northern College of Acupuncture","5","10","5","0","0","20"
"10001282","University of Northumbria at Newcastle","1,765","2,400","875","250","0","5,290"
"10004775","Norwich University of the Arts","150","280","125","50","0","610"
"10007154","University of Nottingham","2,080","3,555","865","155","415","7,070"
"10004797","The Nottingham Trent University","1,100","3,190","1,630","250","135","6,305"
"10010227","Oak Hill College","0","15","5","0","0","20"
"10007773","The Open University","1,440","3,195","2,220","1,270","400","8,525"
"10023445","ICOM","5","5","5","0","0","10"
"10004930","Oxford Brookes University","835","1,680","615","65","150","3,345"
"10020439","Oxford Business College","0","0","0","0","0","0"
"10007774","The University of Oxford","1,125","1,775","150","30","190","3,270"
"10006243","St Patrick's International College","0","0","0","0","0","0"
"10042570","Pearson College","50","70","35","0","0","155"
"10005127","Plymouth College of Art","65","150","105","35","0","355"
"10007801","University of Plymouth","1,125","2,160","1,035","155","390","4,865"
"10019178","Point Blank Music School","20","45","10","5","0","75"
"10007155","The University of Portsmouth","1,410","2,630","1,280","185","55","5,560"
"10005337","Queen Margaret University, Edinburgh","135","350","110","15","125","740"
"10007775","Queen Mary University of London","1,190","1,655","425","35","390","3,695"
"10005544","Royal Academy of Dance","10","15","10","0","0","30"
"10005389","Ravensbourne University London","235","260","100","0","0","595"
"10005470","Richmond, The American International University in London","40","80","40","30","10","195"
"10007802","The University of Reading","960","1,880","550","75","0","3,465"
"10003331","Regent's University London","80","215","175","30","0","500"
"10021100","Regents Theological College","5","5","10","5","0","25"
"10008455","Regent College","0","0","0","0","0","0"
"10005500","Robert Gordon University","415","590","320","155","830","2,305"
"10007776","Roehampton University","340","985","580","80","0","1,990"
"10005523","Rose Bruford College of Theatre and Performance","55","100","20","5","0","180"
"10007835","Royal Academy of Music","60","40","15","0","0","115"
"10005545","Royal Agricultural University","50","150","80","15","0","300"
"10007777","Royal College of Art","0","0","0","0","0","0"
"10007778","Royal College of Music","40","40","15","0","0","95"
"10005561","Royal Conservatoire of Scotland","35","70","20","15","100","240"
"10007816","The Royal Central School of Speech and Drama","70","120","20","5","0","215"
"10005553","Royal Holloway and Bedford New College","630","1,225","380","40","0","2,275"
"10007837","Royal Northern College of Music","65","70","25","0","5","170"
"10007779","The Royal Veterinary College","35","100","30","5","260","430"
"10007803","The University of St Andrews","515","1,020","155","30","45","1,760"
"10007839","SAE Education Limited","50","100","60","35","0","245"
"10007782","St George's, University of London","150","275","110","10","285","830"
